Price,log_return,volume_zscore,momentum,parkinson_vol,rsi,ma_cross,state,regime,realized_vol,base_exposure,raw_position,position,strategy_gross_ret,turnover,trans_cost,strategy_net_ret,bah_ret,strategy_cum,bah_cum,close,regime_smooth
2010-04-15,0.0008248500778419,-0.4897035158075923,0.0041991567702261,0.0968806755072842,83.42797709772488,3.8015253371551214,0,Chop,0.1486338507301793,1.009191373722132,1.009191373722132,0.0,0.0,0.0,0.0,0.0,0.0008248500778419,1.0,1.000824850077842,90.89180755615234,Bear
2010-04-16,-0.0160403849839778,3.3506421056084705,-0.0003180225287834,0.1061061009660722,65.79546532587041,3.742582920970276,0,Chop,0.1486338507301793,1.009191373722132,1.009191373722132,1.009191373722132,-0.0161878181570124,1.009191373722132,0.0002018382747444,-0.0163896564317569,-0.0160403849839778,0.9836103435682432,0.9847712341810616,89.4455337524414,Bear
2010-04-19,0.0037629453611377,0.8147294089516216,0.0001168424174085,0.104352875459105,64.62975923433527,3.6599228725294974,1,Bull,0.1486338507301793,1.009191373722132,1.009191373722132,1.009191373722132,0.0037975319982479,0.0,0.0,0.0037975319982479,0.0037629453611377,0.9873456353217512,0.9884768745285047,89.78271484375,Bear
2010-04-20,0.0088913731388034,-0.2011219051692972,0.0017448439178804,0.1022447115828696,68.3156613232681,3.5819147587823195,1,Bull,0.1486338507301793,1.009191373722132,1.009191373722132,1.009191373722132,0.0089730970722251,0.0,0.0,0.0089730970722251,0.0088913731388034,0.9962051835513308,0.997265791259016,90.58456420898438,Bear
2010-04-21,-0.0018215981231837,0.3964816605731578,-0.0008765817732757,0.102518449301343,69.6350583439112,3.449186836047333,1,Bull,0.1486338507301793,1.009191373722132,1.009191373722132,1.009191373722132,-0.0018383411123054,0.0,0.0,-0.0018383411123054,-0.0018215981231837,0.9943738186061168,0.9954491737653433,90.41969299316406,Bear
2010-04-22,0.0029790563850136,-0.8552875341384696,-0.0004456934874029,0.1033790570799406,68.1305956416909,3.3748427488763486,1,Bull,0.1352700294639897,1.1088930829273722,1.1088930829273722,1.009191373722132,0.0030064380055875,0.0,0.0,0.0030064380055875,0.0029790563850136,0.9973633418461356,0.9984146729824052,90.68948364257812,Bear
2010-04-23,0.006506428345591,0.2400890150656272,0.0040636223988619,0.1012195679219561,67.50853282214325,3.3254214782393885,1,Bull,0.1299380594912146,1.1543961837458547,1.1543961837458547,1.1088930829273722,0.0072149333869884,0.0997017092052401,1.9940341841048028e-05,0.0071949930451474,0.006506428345591,1.0045393641542033,1.0049107865113518,91.28148651123047,Bear
2010-04-26,-0.0037831360418975,-0.298447787647546,0.002554486970397,0.0996256895362205,62.9923739654349,3.287530623096216,1,Bull,0.1229358389727849,1.2201486666000334,1.2201486666000334,1.1543961837458547,-0.0043672378093579,0.0455031008184825,9.100620163696503e-06,-0.0043763384295216,-0.0037831360418975,1.000143159930888,1.001109072296009,90.93681335449219,Bear
2010-04-27,-0.0239347601082987,2.5889610312458244,-0.0040108761886387,0.1127625938916119,50.54148473220717,3.1436722083706794,0,Chop,0.1717158862722869,0.8735359509029211,0.8735359509029211,1.2201486666000334,-0.0292039656315323,0.0657524828541786,1.3150496570835737e-05,-0.0292171161281032,-0.0239347601082987,0.9709218610824591,0.9771477668083624,88.78604125976562,Bear
2010-04-28,0.0075674495723494,1.5876004680428684,-0.00213299107691,0.1143436927531807,52.63622412524771,3.0497114151746487,0,Chop,0.1696192633911596,0.8843335184995141,0.8843335184995141,0.8735359509029211,0.0066104392580921,0.3466127156971123,6.932254313942246e-05,0.0065411167149527,0.0075674495723494,0.9772727742968988,0.9845422832584186,89.46049499511719,Bear
2010-04-29,0.0123209673380877,0.1690217546977008,-0.0002646015696678,0.1146206170062687,55.33831953746789,3.0198227414288827,0,Chop,0.1739905912200548,0.8621155830793591,0.8621155830793591,0.8843335184995141,0.0108958443974087,0.010797567596593,2.159513519318601e-06,0.0108936848838894,0.0123209673380877,0.9879188759456936,0.996672796573412,90.569580078125,Bear
2010-04-30,-0.0171075929485449,1.0621930226187108,-0.0049872444521552,0.1194826171893683,46.70939385751599,2.915454779742661,0,Chop,0.1830024586623851,0.8196611187433812,0.8196611187433812,0.8621155830793591,-0.0147487224699191,0.022217935420155,4.443587084031009e-06,-0.0147531660570031,-0.0171075929485449,0.9733439447180188,0.979622124066746,89.03341674804688,Bear
2010-05-03,0.0128791065972079,-0.096590631878704,-0.0016550508780586,0.1212171528592393,51.66880242882228,2.8131336891551784,0,Chop,0.1865279712928627,0.8041689348804897,0.8041689348804897,0.8196611187433812,0.0105565029218826,0.0424544643359778,8.490892867195577e-06,0.0105480120290154,0.0128791065972079,0.983610788355274,0.9922387818275848,90.18739318847656,Bear
2010-05-04,-0.0237956326578328,1.9013603398047247,-0.0016271225296626,0.1258985913580475,39.23742997911838,2.6281964443054484,0,Chop,0.2045857553778219,0.7331888758481016,0.7331888758481016,0.8041689348804897,-0.0191357085692568,0.0154921838628915,3.098436772578306e-06,-0.0191388070060294,-0.0237956326578328,0.9647856513078938,0.96862783226636,88.06664276123047,Bear
2010-05-05,-0.0059742706659988,1.3620114125940814,-0.0043354469816984,0.1272321970172525,37.33704505286086,2.431554393024291,0,Chop,0.1977509228662237,0.7585299619636835,0.7585299619636835,0.7331888758481016,-0.0043802687936159,0.0709800590323881,1.4196011806477627e-05,-0.0043944648054224,-0.0059742706659988,0.9605459347184448,0.962840987421781,87.54210662841797,Bear
2010-05-06,-0.0337775831975653,3.172142956011012,-0.0135551773509955,0.2622883399897028,33.62235097462941,2.137533662021374,2,Bear,0.2279415622473941,0.6580634023960886,0.6,0.7585299619636835,-0.0256213088980743,0.0253410861155819,5.0682172231163895e-06,-0.0256263771152975,-0.0337775831975653,0.935930622358784,0.930318545863116,84.6345443725586,Bear
2010-05-07,-0.0149867682749786,2.4248435683773044,-0.0131312802209277,0.2748268401840976,29.47673051760956,1.7653565219532283,2,Bear,0.2244313293859934,0.6683558860092077,0.6,0.6,-0.0089920609649871,0.1585299619636835,3.170599239273671e-05,-0.0090237669573799,-0.0149867682749786,0.9274850025343429,0.9163760773943505,83.37557220458984,Bear
2010-05-10,0.0430985852904047,0.7913838199325065,-0.0070871221746269,0.2765505487014136,40.42980805077801,1.510653773373842,2,Bear,0.282549010821563,0.5308813489165916,0.6,0.6,0.0258591511742428,0.0,0.0,0.0258591511742428,0.0430985852904047,0.9514689774267212,0.9558705899240172,87.0475082397461,Bear
2010-05-11,-0.0028448789077226,0.2281042439708645,-0.0028969252320619,0.2795688978930634,40.250304876419726,1.2640291063667657,2,Bear,0.2745940761304261,0.5462608739190473,0.6,0.6,-0.0017069273446336,0.0,0.0,-0.0017069273446336,-0.0028448789077226,0.9498448890115808,0.95315125384423,86.80022430419922,Bear
2010-05-12,0.0138889452850442,-0.3469969205615676,0.0010756499185784,0.2802732611367524,43.14245383420639,1.0062827711262707,2,Bear,0.2734386169558129,0.5485691877392711,0.6,0.6,0.0083333671710265,0.0,0.0,0.0083333671710265,0.0138889452850442,0.9577602952272376,0.9663895194572438,88.01419830322266,Bear
2010-05-13,-0.0125085674542586,-0.3935220010651767,0.0053293707967107,0.28196091644979,39.10103225181591,0.7094005962230131,2,Bear,0.2759757572492975,0.5435260020484347,0.6,0.6,-0.0075051404725551,0.0,0.0,-0.0075051404725551,-0.0125085674542586,0.9505721696725212,0.9543013709660244,86.92010498046875,Bear
2010-05-14,-0.018271261803542,0.3798729901609189,0.004672610034906,0.282097547465556,36.83821973560224,0.4473706576011333,2,Bear,0.2775650286597606,0.54041390129111,0.6,0.6,-0.0109627570821252,0.0,0.0,-0.0109627570821252,-0.018271261803542,0.9401512778873726,0.936865080777625,85.3464126586914,Bear
2010-05-17,0.0005272634308352,0.2067251869563542,-0.0038417757539904,0.2856258128477442,41.12806005111666,0.1952158129463213,2,Bear,0.276857301116052,0.541795355930034,0.6,0.6,0.0003163580585011,0.0,0.0,0.0003163580585011,0.0005272634308352,0.9404487023203424,0.9373590554743456,85.3913803100586,Bear
2010-05-18,-0.0136961167805513,0.3865241399377472,-0.0060119288076796,0.2911673401857776,36.66914647335323,-0.1416979783856997,2,Bear,0.2761317262812069,0.5432189992078023,0.6,0.6,-0.0082176700683308,0.0,0.0,-0.0082176700683308,-0.0136961167805513,0.932720405168484,0.9245208763852616,84.22986602783203,Bear
2010-05-19,-0.0057102983700712,0.5628408065015508,-0.0099317937817126,0.2939708024760004,32.0440381834611,-0.4825981321884705,2,Bear,0.2761377055771544,0.5432072367172224,0.6,0.6,-0.0034261790220427,0.0,0.0,-0.0034261790220427,-0.0057102983700712,0.9295247380828644,0.919241586331742,83.75025177001953,Bear
2010-05-20,-0.0384912630878004,1.3922482679344057,-0.0151282120002274,0.2955489448569968,29.516287631643905,-0.9390075890220114,2,Bear,0.3007153968725865,0.498810508407573,0.6,0.6,-0.0230947578526802,0.0,0.0,-0.0230947578526802,-0.0384912630878004,0.9080575893387646,0.8838588165909997,80.58788299560547,Bear
2010-05-21,0.0144938551206133,1.0690542752701235,-0.0085752474370291,0.3053742187807337,29.593336581593302,-1.381600641277927,2,Bear,0.3063710876161299,0.4896023354133979,0.6,0.6,0.008696313072368,0.0,0.0,0.008696313072368,0.0144938551206133,0.9159543424233944,0.8966693382257465,81.76441955566406,Bear
2010-05-24,-0.0129142759229499,-0.6851442629134044,-0.0112634179896315,0.3069746435888549,31.214141273924994,-1.8415823573054828,2,Bear,0.3074031038412788,0.4879586384314759,0.6,0.6,-0.0077485655537699,0.0,0.0,-0.0077485655537699,-0.0129142759229499,0.9088570101568664,0.8850895029802502,80.71529388427734,Bear
2010-05-25,0.0010208081100677,0.2671210891580634,-0.0083201582824343,0.3100405500645836,32.36676334361273,-2.1766093142488705,2,Bear,0.3007424316262846,0.4987656686449764,0.6,0.6,0.0006124848660406,0.0,0.0,0.0006124848660406,0.0010208081100677,0.9094136713209826,0.8859930095230283,80.79772186279297,Bear
2010-05-26,-0.0060463477908832,-0.1091227195220318,-0.0083873972400637,0.3132948898694428,37.05697341520765,-2.552688766750731,2,Bear,0.2972306928605696,0.504658514759661,0.6,0.6,-0.0036278086745299,0.0,0.0,-0.0036278086745299,-0.0060463477908832,0.9061144925154282,0.8806359876471607,80.3106460571289,Bear
2010-05-27,0.0329491382117955,-0.5470805068958838,0.0059006118516843,0.3152049206022505,48.96696301008173,-2.887762311775812,2,Bear,0.3215610611894959,0.4664743904163353,0.6,0.6,0.0197694829270773,0.0,0.0,0.0197694829270773,0.0329491382117955,0.9240279075051894,0.909652184518428,83.00089263916016,Bear
2010-05-28,-0.0126291999796052,-0.5864891509322593,0.0004760577378853,0.3148022800365544,33.59114776959676,-3.173079330467052,2,Bear,0.3195939093777858,0.4693456151652998,0.6,0.6,-0.0075775199877631,0.0,0.0,-0.0075775199877631,-0.0126291999796052,0.9170260675668178,0.89816400516826,81.95927429199219,Bear
2010-06-01,-0.0169662386419444,-0.8255283586257728,-0.0003345672179477,0.3177589655664911,31.306244849309778,-3.583642420997097,2,Bear,0.3160542481200425,0.4746020687658264,0.6,0.6,-0.0101797431851666,0.0,0.0,-0.0101797431851666,-0.0169662386419444,0.9076909777048844,0.8829255403169708,80.58038330078125,Bear
2010-06-02,0.0257058318300774,-1.059414177979484,0.0046025270250685,0.320288868554821,34.77335997167789,-3.789151196568527,2,Bear,0.32697762382367,0.4587469877782549,0.6,0.6,0.0154234990980464,0.0,0.0,0.0154234990980464,0.0257058318300774,0.9216907486808203,0.905621875774839,82.67864990234375,Bear
2010-06-03,0.0034383317208417,-1.094410674661905,0.0064995490903022,0.3198263134670007,38.16156332221036,-3.94129687893918,2,Bear,0.3276082677102154,0.4578639026676881,0.6,0.6,0.002062999032505,0.0,0.0,0.002062999032505,0.0034383317208417,0.923592195803618,0.9087357041974038,82.96343231201172,Bear
